"number","name","url"
"83","Кричевский избирательный округ № 83","http://vybary2019.by/regions/83.html"
"84","Могилевский-Ленинский избирательный округ № 84","http://vybary2019.by/regions/84.html"
"85","Могилевский-Центральный избирательный округ № 85","http://vybary2019.by/regions/85.html"
"86","Могилевский-Октябрьский избирательный округ № 86","http://vybary2019.by/regions/86.html"
"87","Могилевский-Промышленный избирательный округ № 87","http://vybary2019.by/regions/87.html"
"88","Могилевский сельский избирательный округ № 88","http://vybary2019.by/regions/88.html"
"89","Осиповичский избирательный округ № 89","http://vybary2019.by/regions/89.html"
"90","Шкловский избирательный округ № 90","http://vybary2019.by/regions/90.html"
"91","Шабановский избирательный округ № 91","http://vybary2019.by/regions/91.html"
"92","Автозаводской избирательный округ № 92","http://vybary2019.by/regions/92.html"
"93","Васнецовский избирательный округ № 93","http://vybary2019.by/regions/93.html"
"94","Свислочский избирательный округ № 94","http://vybary2019.by/regions/94.html"
"95","Купаловский избирательный округ № 95","http://vybary2019.by/regions/95.html"
"96","Чкаловский избирательный округ № 96","http://vybary2019.by/regions/96.html"
"97","Октябрьский избирательный округ № 97","http://vybary2019.by/regions/97.html"
"98","Грушевский избирательный округ № 98","http://vybary2019.by/regions/98.html"
"99","Юго-Западный избирательный округ № 99","http://vybary2019.by/regions/99.html"
"100","Есенинский избирательный округ № 100","http://vybary2019.by/regions/100.html"
"101","Каменногорский избирательный округ № 101","http://vybary2019.by/regions/101.html"
"102","Западный избирательный округ № 102","http://vybary2019.by/regions/102.html"
"103","Пушкинский избирательный округ № 103","http://vybary2019.by/regions/103.html"
"104","Кальварийский избирательный округ № 104","http://vybary2019.by/regions/104.html"
"105","Старовиленский избирательный округ № 105","http://vybary2019.by/regions/105.html"
"106","Коласовский избирательный округ № 106","http://vybary2019.by/regions/106.html"
"107","Восточный избирательный округ № 107","http://vybary2019.by/regions/107.html"
"108","Калиновский избирательный округ № 108","http://vybary2019.by/regions/108.html"
"109","Уручский избирательный округ № 109","http://vybary2019.by/regions/109.html"
"110","Партизанский избирательный округ № 110","http://vybary2019.by/regions/110.html"
